dataset_file,distance_function,radius,n_segment_ids,n_ids,n_calculated_pairs,duration,trainride_start_seconds,window_size,sampling_rate,threshold,test_frac,seed,metric,n_runs,n_workers,mcc_train,f1_train,accuracy_train,precision_train,recall_train,TP_train,FP_train,TN_train,FN_train,mcc_test,f1_test,accuracy_test,precision_test,recall_test,TP_test,FP_test,TN_test,FN_test,n_pairs_test,mrr_test,mcc_train_std,f1_train_std,accuracy_train_std,precision_train_std,recall_train_std,TP_train_std,FP_train_std,TN_train_std,FN_train_std,mcc_test_std,f1_test_std,accuracy_test_std,precision_test_std,recall_test_std,TP_test_std,FP_test_std,TN_test_std,FN_test_std,n_pairs_test_std,mrr_test_std,threshold_std,total_distance_time_s,total_cpu_hours
all_coloc_first30_5s_window50_60Hz.pkl,ddtw,1,329,643,206403,5,30,50,60.0,9.296985865803792,0.3,magtrack,mcc,10,2,0.10209622556164052,0.02149860462848014,0.9974639330458206,0.975,0.010875884608887349,5.6,0.2,200559.2,509.8,0.06056314480526833,0.012463827306610983,0.9940503928075956,0.6,0.0063053907820852535,1.4,0.0,37268.6,223.2,37493.2,0.12518979028808622,0.011917181564000512,0.0046371839433159085,2.4428768703268716e-05,0.075,0.0023708755807930783,1.2,0.6000000000000001,3156.952986662931,11.981652640600128,0.05099282786935735,0.01160406582084322,0.00012088320368709777,0.48989794855663565,0.005891591993715115,1.2806248474865698,0.0,1357.6641852829441,12.073110618229256,1369.146946094538,0.014599987632332369,3.2831597327572988,0.569,2.1181
all_coloc_first30_5s_window1_60Hz.pkl,ddtw,1,322,631,198765,5,30,1,60.0,19.355238236018675,0.3,magtrack,mcc,10,2,0.09386541672322277,0.01786837462780203,0.9974032266648454,1.0,0.009020626081200436,4.6,0.0,193758.0,504.6,0.06046019869945093,0.012392596024035436,0.9938959027462391,0.6,0.006267681832593158,1.4,0.0,35664.4,219.4,35885.2,0.0661253485660401,0.013656400444530528,0.004795360235221266,3.1704757780874874e-05,0.0,0.002438534407717483,1.2806248474865698,0.0,6302.158043083337,21.18584433059018,0.050736898777565494,0.01132877537065414,0.0002006250756013511,0.48989794855663565,0.005746063053078415,1.2806248474865698,0.0,2651.0637563061364,21.18584433059018,2672.0078143598307,0.011136265443230778,1.3441111075872467,0.674,2.0344
all_coloc_first30_5s_window10_60Hz.pkl,ddtw,1,329,643,206403,5,30,10,60.0,16.16446675009268,0.3,magtrack,mcc,10,2,0.10157872462692279,0.02076891971969075,0.9974639330458206,1.0,0.010499944759263288,5.4,0.0,200559.4,510.0,0.04658335907844177,0.012289368693317416,0.9939770776857879,0.39761904761904765,0.0063053907820852535,1.4,2.8,37265.8,223.2,37493.2,0.06580964614921131,0.01245439079208664,0.005023883940081169,2.4428768703268716e-05,0.0,0.0025672044272096817,1.2806248474865698,0.0,3157.299992081842,12.263767773404714,0.042967799165986614,0.011427636173706068,0.00018306001959707025,0.4243241925794042,0.005891591993715115,1.2806248474865698,4.019950248448356,1356.1650194574404,12.073110618229256,1369.146946094538,0.008447922310141168,6.35434776823017,0.621,2.1448
all_coloc_first30_5s_window100_60Hz.pkl,ddtw,1,328,641,205120,5,30,100,60.0,8.871279446494544,0.3,magtrack,mcc,10,2,0.11072993511165838,0.02512060015390242,0.9974577049732005,0.9800000000000001,0.01273288291004561,6.6,0.2,201551.4,513.6,0.05661517615120727,0.013124512176632769,0.9940175705216939,0.5166666666666667,0.0066844703966727785,1.4,1.0,36093.0,216.4,36311.8,0.17270266432429715,0.01149588870261449,0.005181029493919136,3.317136093048929e-05,0.05999999999999999,0.0026607227885698617,1.2806248474865698,0.6000000000000001,4169.825324878729,15.12084653714864,0.05161279028505404,0.012173776756219268,0.00017766759510801715,0.4856267428111155,0.006201021757434445,1.2806248474865698,3.0,1779.8452179894746,15.252540771950096,1793.3656515055704,0.018259411051256096,1.5455001459913815,0.623,2.1277
all_coloc_first30_5s_window5_60Hz.pkl,ddtw,1,329,643,206403,5,30,5,60.0,14.365835156540417,0.3,magtrack,mcc,10,2,0.09336404916271009,0.01770630914358265,0.997459942012022,1.0,0.0089384547012703,4.6,0.0,200559.4,510.8,0.06056314480526833,0.012463827306610983,0.9940503928075956,0.6,0.0063053907820852535,1.4,0.0,37268.6,223.2,37493.2,0.05775433533862397,0.014104124178940997,0.004925047504004047,2.3231046748150058e-05,0.0,0.0025041915496906973,1.2806248474865698,0.0,3157.299992081842,12.073110618229256,0.05099282786935735,0.01160406582084322,0.00012088320368709777,0.48989794855663565,0.005891591993715115,1.2806248474865698,0.0,1357.6641852829441,12.073110618229256,1369.146946094538,0.008230387014320965,0.63317321900426,0.643,2.146
all_coloc_first30_5s_window150_60Hz.pkl,ddtw,1,328,641,205120,5,30,150,60.0,7.672467768128847,0.3,magtrack,mcc,10,2,0.12401555066509795,0.03320021544296896,0.9974646264276839,0.9297619047619048,0.016928152296931745,8.8,1.0,201550.6,511.4,0.09590597538882399,0.030477105166406688,0.9940436903998663,0.645,0.01577201523381595,3.4,2.0,36092.0,214.4,36311.8,0.2102541424407845,0.008288221149415326,0.005836368690583604,3.0177427387071083e-05,0.11071428571428571,0.0030667438611015787,1.6,1.61245154965971,4169.438911892103,14.506550244630871,0.05224360727824351,0.018382529323792612,0.00016045618325731542,0.4027716474629266,0.009625674777261893,2.009975124224178,3.687817782917155,1780.526439006172,14.853955702101715,1793.3656515055704,0.027098313282168246,0.4550125080003498,0.627,2.1327
all_coloc_first30_5s_window5_40Hz.pkl,ddtw,1,331,775,299925,5,30,5,40.0,17.69528230342211,0.3,magtrack,mcc,10,2,0.0747373090384387,0.012508454279466818,0.9972123891446032,0.9349999999999999,0.006304778373192979,5.2,0.6,293075.0,818.8,0.05534112321998338,0.012152986430013907,0.9934183113448111,0.5819047619047619,0.006197738719587529,2.2,2.6,53448.2,351.8,53804.8,0.05846285012280359,0.01127580428706684,0.004298396594395968,2.946625321646652e-05,0.10012492197250392,0.0021842232144830553,1.8330302779823358,0.9165151389911679,5656.282896036937,22.96432015105172,0.0327818503408144,0.00766507743954922,0.0001672629040519122,0.4297222643636188,0.003949420069246504,1.4,4.004996878900157,2408.1809649608977,23.003477997902838,2430.5466381042766,0.011392803456120551,6.535668401041041,0.785,1.9858
all_coloc_first60_5s_window100_60Hz.pkl,ddtw,1,321,579,167331,5,60,100,60.0,8.849878842730583,0.3,magtrack,mcc,10,2,0.10645298178989213,0.024142245078748494,0.9975696962445385,0.9416666666666667,0.012236674397869443,5.0,0.4,165899.8,403.8,0.0606782350052147,0.016267779511749306,0.9942517120069819,0.4833333333333334,0.008335684525640038,1.4,0.8,28808.2,165.8,28976.2,0.17484492574172034,0.013242893868412278,0.004813703357589629,2.5553856545166504e-05,0.11814539065631523,0.002468729275202581,1.0,0.8000000000000002,2353.224077728256,8.170679286326198,0.051363445722869466,0.014578852486717005,0.00016819921428788164,0.45,0.007539775374976308,1.2806248474865698,1.6000000000000003,985.4649461041221,8.072174428244226,992.213061796709,0.021669471517176346,4.598438326197026,0.586,3.4831
all_coloc_first30_5s_window1_40Hz.pkl,ddtw,1,324,761,289180,5,30,1,40.0,23.026417443669654,0.3,magtrack,mcc,10,2,0.07713693729811608,0.013532392236650445,0.9971267406630657,0.9016666666666666,0.006823806187254655,5.6,0.8,283916.0,817.4,0.037503278351179906,0.008072626586338191,0.9933218669325736,0.395,0.004101843807211901,1.4,3.0,50923.8,339.6,51267.8,0.060431222772028545,0.010284852650251513,0.003734917644171127,2.3563894982104413e-05,0.12526638282742367,0.0019019360897801502,1.4966629547095764,0.9797958971132713,3541.294452597807,16.877203559831827,0.03459758612791578,0.007323011768570964,0.00018203410683739597,0.42334973721498875,0.0037313644712326875,1.2806248474865698,3.1304951684997055,1487.6801941277567,16.119553343687908,1505.5092028944891,0.010331142946140742,8.697772851822599,0.761,1.9379
all_coloc_first30_5s_window50_40Hz.pkl,ddtw,1,331,775,299925,5,30,50,40.0,9.89498174852367,0.3,magtrack,mcc,10,2,0.08318446769985256,0.014437923080176777,0.9972164777067428,0.9666666666666666,0.0072760159356174735,6.0,0.2,293075.4,818.0,0.04940421052845934,0.008912511990938909,0.9934327367660124,0.5916666666666666,0.004504897434895123,1.6,1.2,53449.6,352.4,53804.8,0.11602232305710254,0.013185095212603283,0.0036408831676933966,3.0305113333283664e-05,0.1,0.0018453766054652044,1.5491933384829668,0.6000000000000001,5656.16103377547,22.94340863951998,0.03457375441120993,0.00670420001007037,0.00014321949281925574,0.44791182167922294,0.003401203749982657,1.2000000000000002,2.0396078054371136,2408.804151441125,23.06165648863932,2430.5466381042766,0.01990529205807286,2.423528005456524,0.834,1.9599
