dataset_file,distance_function,radius,n_segment_ids,n_ids,n_calculated_pairs,duration,trainride_start_seconds,window_size,sampling_rate,threshold,test_frac,seed,metric,n_runs,n_workers,mcc_train,f1_train,accuracy_train,precision_train,recall_train,TP_train,FP_train,TN_train,FN_train,mcc_test,f1_test,accuracy_test,precision_test,recall_test,TP_test,FP_test,TN_test,FN_test,n_pairs_test,mrr_test,mcc_train_std,f1_train_std,accuracy_train_std,precision_train_std,recall_train_std,TP_train_std,FP_train_std,TN_train_std,FN_train_std,mcc_test_std,f1_test_std,accuracy_test_std,precision_test_std,recall_test_std,TP_test_std,FP_test_std,TN_test_std,FN_test_std,n_pairs_test_std,mrr_test_std,threshold_std,total_distance_time_s,total_cpu_hours
regional_coloc_first10_5s_window1_10Hz.pkl,dtw,1,90,181,16290,5,10,1,10.0,12.222728033177555,0.3,magtrack,mcc,10,256,0.18811612903395974,0.11216093495843796,0.9911731445800507,0.6747329059829059,0.06456951955061938,9.2,7.6,15780.8,133.0,0.11809161920326194,0.07604893047251134,0.9786238012814549,0.39464285714285713,0.04456878974000465,3.0,3.2,2833.6,58.8,2898.6,0.26494022076862633,0.044748185901171765,0.05375884582260035,0.00029272830668815563,0.23637690134364472,0.03378533325928461,4.915282290977803,6.8,522.4872821418719,7.389181280764467,0.11026102666408398,0.08209805798202725,0.0013183836136777445,0.38369594281229014,0.05001229477677233,3.492849839314596,3.2496153618543846,221.04623950657924,4.019950248448356,228.85287850494691,0.07238925995759093,4.196855759756012,15.464,0.0108
regional_coloc_first10_5s_window5_10Hz.pkl,dtw,1,84,175,15225,5,10,5,10.0,12.49941341906415,0.3,magtrack,mcc,10,256,0.20941979950405387,0.13184464149082847,0.990548639380114,0.6963769718413682,0.07714080851286757,11.2,8.8,15000.6,134.4,0.09262148583163149,0.03915322580645161,0.9773047196624175,0.4666666666666667,0.02071519795657727,1.2,1.6,2532.2,57.2,2592.2,0.31324321066852884,0.04374698819664536,0.05559670147454472,0.00031303117895093975,0.2285504159513337,0.035318986304001196,5.075431016179809,7.95989949685296,314.79015232373456,6.8,0.08259125977768857,0.03199139608306801,0.0008112845040325035,0.45215533220835125,0.016940932669665756,0.9797958971132713,2.65329983228432,129.2608215972651,4.019950248448356,131.4456541693182,0.07481027230851067,3.458041375650835,15.616,0.0101
regional_coloc_first10_5s_window10_10Hz.pkl,dtw,1,84,175,15225,5,10,10,10.0,11.68362319786902,0.3,magtrack,mcc,10,256,0.20655512569360526,0.12616981020493173,0.9905761659150436,0.7066777739804055,0.07293501821552799,10.6,7.8,15001.6,135.0,0.07724942943234844,0.03290322580645161,0.9773893689067306,0.38333333333333336,0.017381864623243932,1.0,1.2,2532.6,57.4,2592.2,0.2988689831910364,0.04002617999030668,0.05180849353741035,0.00027994290574118543,0.21640955433907105,0.03274753878352154,4.737087712930805,7.3999999999999995,313.38130129284997,6.276941930590086,0.08219978188476144,0.03291165820684798,0.0005364558858958925,0.43493294502332963,0.017403284092562574,1.0,2.0396078054371136,128.9745711371044,4.1036569057366385,131.4456541693182,0.07194946200187939,3.2391329670583624,15.54,0.0101
regional_coloc_first10_5s_window1_20Hz.pkl,dtw,1,90,181,16290,5,10,1,20.0,25.454703960867484,0.3,magtrack,mcc,10,256,0.20913104659209908,0.13077000046334405,0.9913120208350652,0.6387570762570763,0.07425579032843946,10.6,6.8,15781.6,131.6,0.15945284354082898,0.10157360613242968,0.9794893283976576,0.47333333333333333,0.0575795424281767,3.8,1.4,2835.4,58.0,2898.6,0.2681777150139643,0.054510538155007254,0.04880059296368084,0.00032990485552034977,0.17746347358024503,0.029527319512149375,4.386342439892262,3.6,522.0251334945474,6.560487786742691,0.14478661709315183,0.09636512782578638,0.0013274375810415128,0.4127953488110059,0.055375178232785496,3.736308338453881,1.562049935181331,222.1963996107948,4.2895221179054435,228.85287850494691,0.06702464048766724,5.576249165352082,16.006,0.021
regional_coloc_first10_5s_window5_20Hz.pkl,dtw,1,84,175,15225,5,10,5,20.0,22.856238413094253,0.3,magtrack,mcc,10,256,0.22115072829219584,0.13659009692499055,0.9907224293078466,0.7373543123543123,0.07852969740175648,11.4,6.4,15003.0,134.2,0.07724942943234844,0.03290322580645161,0.9773893689067306,0.38333333333333336,0.017381864623243932,1.0,1.2,2532.6,57.4,2592.2,0.3037620199700617,0.047098320791032565,0.0575246422833169,0.00014187809839716787,0.18597058319316168,0.035262063404945296,5.063595560468865,4.963869458396343,313.31421927515515,6.838128398911504,0.08219978188476144,0.03291165820684798,0.0005364558858958925,0.43493294502332963,0.017403284092562574,1.0,2.0396078054371136,128.9745711371044,4.1036569057366385,131.4456541693182,0.07645657538320189,6.396408305747535,15.849,0.0195
regional_coloc_first10_5s_window10_20Hz.pkl,dtw,1,84,175,15225,5,10,10,20.0,21.31688876357366,0.3,magtrack,mcc,10,256,0.21103483137076648,0.13057592856100056,0.9906019727148685,0.7112896825396825,0.07575191962397869,11.0,7.8,15001.6,134.6,0.07724942943234844,0.03290322580645161,0.9773893689067306,0.38333333333333336,0.017381864623243932,1.0,1.2,2532.6,57.4,2592.2,0.2964136619232197,0.043763317114423474,0.055163725303851975,0.000263498340376348,0.2155303443087266,0.034770823975067484,5.0,7.124605252222751,314.30660190330076,6.696267617113283,0.08219978188476144,0.03291165820684798,0.0005364558858958925,0.43493294502332963,0.017403284092562574,1.0,2.0396078054371136,128.9745711371044,4.1036569057366385,131.4456541693182,0.07148400552737269,6.361203215316433,15.769,0.0191
regional_coloc_first10_5s_window50_20Hz.pkl,dtw,1,84,175,15225,5,10,50,20.0,16.688293207687092,0.3,magtrack,mcc,10,256,0.19463292439416058,0.1302355006884468,0.9900647262786879,0.576312525010004,0.0784812990479286,11.4,16.4,14993.0,134.2,0.10169242861878018,0.05578864081783993,0.9774740181510436,0.4,0.031298120780879395,1.8,1.8,2532.0,56.6,2592.2,0.29321912117187915,0.04340773530114966,0.03735827643456407,0.0013454161023665238,0.22722502470811048,0.02517348559188984,3.583294573433784,22.623881187806834,311.4434138009664,5.688585061331157,0.09807801817693894,0.06544836581514542,0.0006447256077164684,0.38151743807531996,0.03919914710959906,2.2715633383201097,2.08806130178211,129.01472784143678,4.737087712930805,131.4456541693182,0.08480417594815473,5.691587664571455,15.911,0.0198
regional_coloc_first10_5s_window1_40Hz.pkl,dtw,1,90,181,16290,5,10,1,40.0,45.49569286254082,0.3,magtrack,mcc,10,256,0.22813652369750761,0.13344137079143664,0.9914881144591705,0.7461904761904762,0.07425579032843946,10.6,4.0,15784.4,131.6,0.16958727032862922,0.11217605923488279,0.9796964308689109,0.47333333333333333,0.06413868221312294,4.2,1.2,2835.6,57.6,2898.6,0.2478247121149629,0.06321714564625766,0.050556732488807245,0.0003478797320370037,0.18578949772620765,0.029527319512149375,4.386342439892262,2.9664793948382653,521.9362413168873,6.560487786742691,0.1551759080463272,0.10608869764929156,0.0013969176463672667,0.4127953488110059,0.06131984608399318,4.044749683231337,1.32664991614216,222.16174288117205,4.63033476111609,228.85287850494691,0.0710056394008246,9.959360374408243,15.935,0.0415
regional_coloc_first10_5s_window5_40Hz.pkl,dtw,1,84,175,15225,5,10,5,40.0,42.68427684658163,0.3,magtrack,mcc,10,256,0.23079425993230157,0.14460961828357735,0.9908037249616284,0.7357808857808857,0.08258375145581053,12.0,5.8,15003.6,133.6,0.1269734179836325,0.05858765631846833,0.9777096816472113,0.5666666666666667,0.031191388432767742,1.8,1.2,2532.6,56.6,2592.2,0.2952719041134795,0.05143521146873297,0.05517440178227152,0.00017749910003976756,0.1513756395535576,0.032913691881441914,4.732863826479693,3.627671429443411,311.1434395901672,6.374950980203691,0.09206553102994623,0.04484954252328996,0.0006726296600777891,0.41633319989322654,0.024222909170876248,1.4000000000000001,1.8330302779823362,128.66716752924967,4.294182110716778,131.4456541693182,0.08207791315249385,10.871306728338164,16.051,0.0385
regional_coloc_first10_5s_window10_40Hz.pkl,dtw,1,84,175,15225,5,10,10,40.0,36.23384686250574,0.3,magtrack,mcc,10,256,0.21377666583802682,0.124666958563634,0.9907366335186355,0.7537012987012988,0.07019099721040253,10.2,5.0,15004.4,135.4,0.11113023864053444,0.04584816462736373,0.977700262494935,0.55,0.0240485312899106,1.4,0.8,2533.0,57.0,2592.2,0.2995601598512251,0.043743349548363106,0.05110979679019113,0.00013702081947802484,0.170503990629653,0.03054354676348966,4.422668877499197,3.714835124201342,312.0266655271629,6.069596362197408,0.0963953936102415,0.04105650351653538,0.000693740443748266,0.4716990566028302,0.021705209103573632,1.2806248474865698,1.8330302779823362,128.69265713318688,4.024922359499621,131.4456541693182,0.0761901565835853,9.969207444652579,16.021,0.04
regional_coloc_first10_5s_window50_40Hz.pkl,dtw,1,84,175,15225,5,10,50,40.0,34.02472769046726,0.3,magtrack,mcc,10,256,0.20023035677047604,0.14331378355497396,0.9900022246571023,0.5010698370257194,0.08643780033057931,12.6,18.6,14990.8,133.0,0.10695837110103457,0.07071078097314978,0.9768433658901394,0.34362745098039216,0.04509122422915526,2.6,4.2,2529.6,55.8,2592.2,0.29408349975154857,0.04377385979719175,0.020320092533892394,0.0011523196325698957,0.1766703561069905,0.011212356053264207,1.8,18.067650649710934,307.0142667694777,3.255764119219941,0.11051335927140934,0.08365946819899352,0.0015945279161822552,0.36978106150622914,0.0617437996393989,3.583294573433784,6.539113089708726,130.08243540155604,5.546169849544819,131.4456541693182,0.08252855672396839,7.785810364752443,16.156,0.0383
regional_coloc_first10_5s_window100_40Hz.pkl,dtw,1,83,173,14878,5,10,100,40.0,18.995221587461128,0.3,magtrack,mcc,10,256,0.19488541068088766,0.1203052525787726,0.9901950435639657,0.6541982323232324,0.07070910512567505,10.0,11.2,14347.8,131.0,0.10626850145956783,0.060071318706954445,0.9771317017108994,0.3833333333333333,0.03299916418180175,2.0,2.2,2603.2,59.0,2666.4,0.2296444376666514,0.037958299218044556,0.04129380798172595,0.0009159253401534093,0.24326771084851748,0.02779149039549469,4.0,14.5657131648265,480.65409599835925,7.54983443527075,0.08071683024464425,0.04511224650884291,0.00141465129527573,0.3231786571610886,0.024886013465289687,1.5491933384829668,2.2715633383201097,201.38361403053625,7.602631123499285,209.10437585091327,0.04341117736132719,8.023522270962786,16.15,0.0371
regional_coloc_first10_5s_window150_40Hz.pkl,dtw,1,83,173,14878,5,10,150,40.0,11.753207118969295,0.3,magtrack,mcc,10,256,0.17187678933044828,0.0893844463530776,0.9902337931198794,0.7583882783882784,0.05213348963302196,7.4,8.2,14350.8,133.6,0.07984619910491678,0.03660266862065731,0.9769644795244922,0.375,0.019422551278575943,1.2,1.8,2603.6,59.8,2666.4,0.22485316427388735,0.02993398839440711,0.04646832657154058,0.000666262351718544,0.27337137447921583,0.03291727896522794,4.8207883172775805,13.128594745821047,474.8096039466767,7.683749084919419,0.07359518799843558,0.030124034198576045,0.001244560670001167,0.375,0.015928107826327944,0.9797958971132713,1.661324772583615,201.7400307326238,7.345747068882783,209.10437585091327,0.028130598063050474,7.501166425175279,16.135,0.0378
regional_coloc_first10_5s_window1_60Hz.pkl,dtw,1,90,173,14878,5,10,1,60.0,68.95529375940387,0.3,magtrack,mcc,10,256,0.21341109321274096,0.11281561669065554,0.9915985828128978,0.775,0.06123830914570862,7.8,2.6,14418.2,119.6,0.1090213737715863,0.0618807221699324,0.9794523051923558,0.39285714285714285,0.03451639755519066,2.0,1.8,2589.4,52.6,2645.8,0.27164033462926784,0.040505662039285795,0.02843892319151134,0.00022914451321879106,0.1579820664927932,0.0159843801432644,2.08806130178211,2.2,482.6232070673767,5.043808085167397,0.09937482577369879,0.058422255660174206,0.0011077579880524864,0.3802448787300804,0.03347287829666615,2.0,2.4413111231467406,203.16899369736515,3.5832945734337835,209.40955088056515,0.06337486549876523,16.96626453403052,16.816,0.0564
regional_coloc_first10_5s_window5_60Hz.pkl,dtw,1,84,167,13861,5,10,5,60.0,55.68717556856791,0.3,magtrack,mcc,10,256,0.18413418670950987,0.10425704054430647,0.9907905876883831,0.6963095238095238,0.05850228024590134,7.4,5.2,13417.8,119.6,0.0883989523288374,0.0355026455026455,0.9776497829901191,0.45,0.018547990961784062,1.0,1.0,2405.2,54.0,2461.2,0.2914022711849336,0.03568532599637863,0.04482872558179373,0.0001601051175492387,0.20719637224552395,0.026623882913283277,3.352610922848042,3.8157568056677826,261.85713662224293,5.276362383309169,0.09153937280945884,0.03554315259862341,0.0010024447427824453,0.47169905660283024,0.018576450310893694,1.0,2.4083189157584592,111.37037308009702,3.687817782917155,113.47669364235107,0.07106623157285422,22.25420182265409,16.646,0.0513
regional_coloc_first10_5s_window10_60Hz.pkl,dtw,1,84,167,13861,5,10,10,60.0,58.96961964624861,0.3,magtrack,mcc,10,256,0.1785460743398613,0.11099062252096295,0.9905671647810212,0.6313474025974026,0.0649323335347595,8.2,9.0,13414.0,118.8,0.0742770833936329,0.03483967341725962,0.9774112875919597,0.3333333333333333,0.018547990961784062,1.0,1.6,2404.6,54.0,2461.2,0.29592786276291694,0.03419654995288926,0.049047937073182515,0.00036042293705349524,0.25405275137812705,0.03087924507260674,3.8418745424597094,7.496665925596525,263.86814889258613,5.946427498927402,0.08022423334531456,0.034950699868160566,0.0009771112291578643,0.3872983346207417,0.018576450310893694,1.0,2.4979991993593593,111.0821317764473,3.687817782917155,113.47669364235107,0.06732905108775701,25.695668893305307,16.883,0.0512
