duration,chunk_size,window_size,hz,k,mcc
300,10,1,60,1.0,0.2682295302987821
300,10,1,60,3.0,0.291007630714832
300,10,1,60,5.0,0.2963680329284763
300,10,1,60,7.0,0.2889966848614457
300,10,1,60,9.0,0.2970378853170949
300,10,1,60,11.0,0.2936881976222566
300,10,1,60,13.0,0.2956981390126265
0,5,5,60,1.0,0.2309641457670954
0,5,5,60,3.0,0.3633043757456097
0,5,5,60,5.0,0.3587875219103074
0,5,5,60,7.0,0.3857353872131936
0,5,5,60,9.0,0.3901262815306953
0,5,5,60,11.0,0.4008461355327749
0,5,5,60,13.0,0.4035189767809927
300,10,10,60,1.0,0.2663652069734168
300,10,10,60,3.0,0.3017380194919959
300,10,10,60,5.0,0.3131505102476581
300,10,10,60,7.0,0.3213249610412146
300,10,10,60,9.0,0.3437796301407453
300,10,10,60,11.0,0.3465303254629669
300,10,10,60,13.0,0.352040468248188
600,30,1,20,1.0,0.5353305747191113
600,30,1,20,3.0,0.5469118714447023
600,30,1,20,5.0,0.5582657142046242
600,30,1,20,7.0,0.5542712750994486
600,30,1,20,9.0,0.5561141359093275
600,30,1,20,11.0,0.5539642511850139
600,30,1,20,13.0,0.5588807664058615
300,20,100,20,1.0,0.3197647736201897
300,20,100,20,3.0,0.3552969726762085
300,20,100,20,5.0,0.3868719181772825
300,20,100,20,7.0,0.3933256353057905
300,20,100,20,9.0,0.4053698412659832
300,20,100,20,11.0,0.4033505427436136
300,20,100,20,13.0,0.4068875020091905
900,30,1,40,1.0,0.5116068848037935
900,30,1,40,3.0,0.5370265918578401
900,30,1,40,5.0,0.5460694684552116
900,30,1,40,7.0,0.5439829791226005
900,30,1,40,9.0,0.5471132126620853
900,30,1,40,11.0,0.54424371820744
900,30,1,40,13.0,0.5450260585519011
0,30,100,60,1.0,0.4039549790880781
0,30,100,60,3.0,0.494154228112444
0,30,100,60,5.0,0.5130967978366018
0,30,100,60,7.0,0.5248903218461188
0,30,100,60,9.0,0.5331809713543043
0,30,100,60,11.0,0.5365419441605208
0,30,100,60,13.0,0.5417770243694919
60,5,10,40,1.0,0.172188499657116
60,5,10,40,3.0,0.1884817774634661
60,5,10,40,5.0,0.2245797770565152
60,5,10,40,7.0,0.2282798552375104
60,5,10,40,9.0,0.2534965117841612
60,5,10,40,11.0,0.2525547022098241
60,5,10,40,13.0,0.2672252463579089
60,30,150,60,1.0,0.2515482382376551
60,30,150,60,3.0,0.1605988547950061
60,30,150,60,5.0,0.1605988547950061
60,30,150,60,7.0,0.1605988547950061
60,30,150,60,9.0,0.1605988547950061
60,30,150,60,11.0,0.1605988547950061
60,30,150,60,13.0,0.1605988547950061
600,5,5,10,1.0,0.2354058273444451
600,5,5,10,3.0,0.3700345629758547
600,5,5,10,5.0,0.3811229291356285
600,5,5,10,7.0,0.4018737053263275
600,5,5,10,9.0,0.4170336412644375
600,5,5,10,11.0,0.4291120040666654
600,5,5,10,13.0,0.4359113292447339
600,20,100,60,1.0,0.2965449809038486
600,20,100,60,3.0,0.3648468186256938
600,20,100,60,5.0,0.3934719510355309
600,20,100,60,7.0,0.4047158457258731
600,20,100,60,9.0,0.4149541334828083
600,20,100,60,11.0,0.4160988733923474
600,20,100,60,13.0,0.428788385144235
60,10,100,20,1.0,0.1878719766683573
60,10,100,20,3.0,0.2046402260845206
60,10,100,20,5.0,0.2856626983190843
60,10,100,20,7.0,0.2905052198576565
60,10,100,20,9.0,0.3266666886350933
60,10,100,20,11.0,0.3114705661912065
60,10,100,20,13.0,0.3114705661912065
0,10,150,20,1.0,0.1961740463131698
0,10,150,20,3.0,0.3006656420472531
0,10,150,20,5.0,0.2826493891029418
0,10,150,20,7.0,0.295451530697406
0,10,150,20,9.0,0.2962374226043296
0,10,150,20,11.0,0.29848593327176
0,10,150,20,13.0,0.3020818331165192
60,20,1,20,1.0,0.364334524527788
60,20,1,20,3.0,0.2536847657633141
60,20,1,20,5.0,0.3561629953740193
60,20,1,20,7.0,0.3561629953740193
60,20,1,20,9.0,0.3561629953740193
60,20,1,20,11.0,0.3561629953740193
60,20,1,20,13.0,0.3561629953740193
300,20,50,20,1.0,0.3494937547154953
300,20,50,20,3.0,0.3723188944669162
300,20,50,20,5.0,0.4041935635691207
300,20,50,20,7.0,0.4063178499525497
300,20,50,20,9.0,0.4234427434530246
300,20,50,20,11.0,0.4225808377138312
300,20,50,20,13.0,0.4286270917166809
60,60,10,60,1.0,0.6553282238706591
60,60,10,60,3.0,0.6553282238706591
60,60,10,60,5.0,0.6553282238706591
60,60,10,60,7.0,0.6553282238706591
60,60,10,60,9.0,0.6553282238706591
60,60,10,60,11.0,0.6553282238706591
60,60,10,60,13.0,0.6553282238706591
0,30,50,60,1.0,0.4276511156885979
0,30,50,60,3.0,0.4937227468149668
0,30,50,60,5.0,0.5020753433344248
0,30,50,60,7.0,0.507977498712384
0,30,50,60,9.0,0.510032631358913
0,30,50,60,11.0,0.5078942164139626
0,30,50,60,13.0,0.5130019747232866
900,60,5,60,1.0,0.5715710239326762
900,60,5,60,3.0,0.5552397322234269
900,60,5,60,5.0,0.5771341911481013
900,60,5,60,7.0,0.5670090741799454
900,60,5,60,9.0,0.5703801129753461
900,60,5,60,11.0,0.5518848986668008
900,60,5,60,13.0,0.5485333099299792
300,30,150,10,1.0,0.3572151147707182
300,30,150,10,3.0,0.3811914952164089
300,30,150,10,5.0,0.4119925962869068
300,30,150,10,7.0,0.4173274003314657
300,30,150,10,9.0,0.4319823919872424
300,30,150,10,11.0,0.4281005340549106
300,30,150,10,13.0,0.4273263569808829
300,10,10,10,1.0,0.3155053961491737
300,10,10,10,3.0,0.3582519943327157
300,10,10,10,5.0,0.3792584078122645
300,10,10,10,7.0,0.3823593508147155
300,10,10,10,9.0,0.395397191794066
300,10,10,10,11.0,0.4010679814859563
300,10,10,10,13.0,0.4124625011979296
60,30,150,10,1.0,0.2445486130216987
60,30,150,10,3.0,0.1380121575779109
60,30,150,10,5.0,0.1380121575779109
60,30,150,10,7.0,0.1380121575779109
60,30,150,10,9.0,0.1380121575779109
60,30,150,10,11.0,0.1380121575779109
60,30,150,10,13.0,0.1380121575779109
900,10,5,20,1.0,0.3273468148573402
900,10,5,20,3.0,0.4303671571262124
900,10,5,20,5.0,0.4399890100513622
900,10,5,20,7.0,0.45278606045012
900,10,5,20,9.0,0.4618185814138844
900,10,5,20,11.0,0.4662202917330433
900,10,5,20,13.0,0.4713508228762691
60,60,50,40,1.0,0.5260488017085674
60,60,50,40,3.0,0.5260488017085674
60,60,50,40,5.0,0.5260488017085674
60,60,50,40,7.0,0.5260488017085674
60,60,50,40,9.0,0.5260488017085674
60,60,50,40,11.0,0.5260488017085674
60,60,50,40,13.0,0.5260488017085674
600,10,5,40,1.0,0.3372793168484461
600,10,5,40,3.0,0.4030496752555152
600,10,5,40,5.0,0.4100246274377705
600,10,5,40,7.0,0.416269667170396
600,10,5,40,9.0,0.4198894831873024
600,10,5,40,11.0,0.4228552157312449
600,10,5,40,13.0,0.4283572627489139
0,30,100,10,1.0,0.4192668442859943
0,30,100,10,3.0,0.5170570521450704
0,30,100,10,5.0,0.533441317636484
0,30,100,10,7.0,0.5407727076113675
0,30,100,10,9.0,0.550155908120728
0,30,100,10,11.0,0.5536642482016751
0,30,100,10,13.0,0.5582165470159283
0,30,10,40,1.0,0.4773070317256513
0,30,10,40,3.0,0.5251355532802647
0,30,10,40,5.0,0.5339276010367596
0,30,10,40,7.0,0.5341254436825894
0,30,10,40,9.0,0.5374604729128144
0,30,10,40,11.0,0.5352314719739291
0,30,10,40,13.0,0.5352314719739291
300,10,100,20,1.0,0.2206798509135906
300,10,100,20,3.0,0.2928699968084023
300,10,100,20,5.0,0.321362211809874
300,10,100,20,7.0,0.3272413212713733
300,10,100,20,9.0,0.341692008406532
300,10,100,20,11.0,0.3456367979698524
300,10,100,20,13.0,0.3543472809011848
0,5,5,10,1.0,0.2157537598964869
0,5,5,10,3.0,0.3526145252114236
0,5,5,10,5.0,0.3446323823141392
0,5,5,10,7.0,0.3686112120772347
0,5,5,10,9.0,0.3704168729197423
0,5,5,10,11.0,0.3787999284432107
0,5,5,10,13.0,0.3826860838045706
300,10,1,10,1.0,0.3401766904633009
300,10,1,10,3.0,0.3822457853655068
300,10,1,10,5.0,0.3974652465080405
300,10,1,10,7.0,0.4018896598222657
300,10,1,10,9.0,0.4115791822813498
300,10,1,10,11.0,0.4152260169688676
300,10,1,10,13.0,0.4168492207037994
600,30,150,20,1.0,0.3989379544226469
600,30,150,20,3.0,0.4567172659903754
600,30,150,20,5.0,0.4862704030202748
600,30,150,20,7.0,0.4905338894292481
600,30,150,20,9.0,0.5039465263352083
600,30,150,20,11.0,0.5073357030136332
600,30,150,20,13.0,0.5161189623348227
0,30,50,10,1.0,0.4249008122280184
0,30,50,10,3.0,0.4958780027857125
0,30,50,10,5.0,0.5040779868226835
0,30,50,10,7.0,0.5096581299393409
0,30,50,10,9.0,0.5112895852066001
0,30,50,10,11.0,0.5097001080435891
0,30,50,10,13.0,0.5128811109224741
60,5,50,60,1.0,0.1453112189280544
60,5,50,60,3.0,0.2079312790893037
60,5,50,60,5.0,0.269569446598205
60,5,50,60,7.0,0.2884229485312904
60,5,50,60,9.0,0.3237258833452415
60,5,50,60,11.0,0.3295873059314622
60,5,50,60,13.0,0.3399974713812236
60,60,10,10,1.0,0.6317539727139919
60,60,10,10,3.0,0.6317539727139919
60,60,10,10,5.0,0.6317539727139919
60,60,10,10,7.0,0.6317539727139919
60,60,10,10,9.0,0.6317539727139919
60,60,10,10,11.0,0.6317539727139919
60,60,10,10,13.0,0.6317539727139919
300,30,150,60,1.0,0.3919886814776907
300,30,150,60,3.0,0.4208749962749155
300,30,150,60,5.0,0.439183393690336
300,30,150,60,7.0,0.4410348903482919
300,30,150,60,9.0,0.4466126579390435
300,30,150,60,11.0,0.4522259173717192
300,30,150,60,13.0,0.4597667791035895
0,20,150,20,1.0,0.2647914251165719
0,20,150,20,3.0,0.3616783982546165
0,20,150,20,5.0,0.3709611355736102
0,20,150,20,7.0,0.3865626009401054
0,20,150,20,9.0,0.3961992144251827
0,20,150,20,11.0,0.4010465978738201
0,20,150,20,13.0,0.4072715909367297
300,10,50,40,1.0,0.2631845408301855
300,10,50,40,3.0,0.3395757941018981
300,10,50,40,5.0,0.3798403438058747
300,10,50,40,7.0,0.3901001834794089
300,10,50,40,9.0,0.4041600097135206
300,10,50,40,11.0,0.4086378395916468
300,10,50,40,13.0,0.4139384856316263
600,10,100,60,1.0,0.1815285228499231
600,10,100,60,3.0,0.2593800500161357
600,10,100,60,5.0,0.2853636452109402
600,10,100,60,7.0,0.2968488504169455
600,10,100,60,9.0,0.3042746244702203
600,10,100,60,11.0,0.3205097371972222
600,10,100,60,13.0,0.3249165607748822
60,20,100,20,1.0,0.2204930325123716
60,20,100,20,3.0,0.1116451343737122
60,20,100,20,5.0,0.277317514290573
60,20,100,20,7.0,0.277317514290573
60,20,100,20,9.0,0.277317514290573
60,20,100,20,11.0,0.277317514290573
60,20,100,20,13.0,0.277317514290573
900,60,5,10,1.0,0.6596441268662234
900,60,5,10,3.0,0.6815735861486266
900,60,5,10,5.0,0.7018089769177593
900,60,5,10,7.0,0.7018089769177593
900,60,5,10,9.0,0.7045669276189702
900,60,5,10,11.0,0.7023601075413278
900,60,5,10,13.0,0.7040148769167373
600,20,100,10,1.0,0.3519377978251498
600,20,100,10,3.0,0.4315510867180102
600,20,100,10,5.0,0.4634167894085028
600,20,100,10,7.0,0.4748559597069502
600,20,100,10,9.0,0.4874410559412186
600,20,100,10,11.0,0.4966052168105816
600,20,100,10,13.0,0.503551454217708
300,60,1,20,1.0,0.7513352065109926
300,60,1,20,3.0,0.7423762098077757
300,60,1,20,5.0,0.7674227634093572
300,60,1,20,7.0,0.766274222754779
300,60,1,20,9.0,0.7836087208147716
300,60,1,20,11.0,0.7836087208147716
300,60,1,20,13.0,0.7836087208147716
600,5,5,60,1.0,0.186616234570877
600,5,5,60,3.0,0.2834179498860537
600,5,5,60,5.0,0.2921514034666364
600,5,5,60,7.0,0.3005030146411825
600,5,5,60,9.0,0.3106844177866681
600,5,5,60,11.0,0.3203161862413858
600,5,5,60,13.0,0.3269672961907069
60,30,10,20,1.0,0.4516560996555077
60,30,10,20,3.0,0.3173438118652674
60,30,10,20,5.0,0.3173438118652674
60,30,10,20,7.0,0.3173438118652674
60,30,10,20,9.0,0.3173438118652674
60,30,10,20,11.0,0.3173438118652674
60,30,10,20,13.0,0.3173438118652674
0,60,50,20,1.0,0.5942129684694636
0,60,50,20,3.0,0.6425449672107657
0,60,50,20,5.0,0.6621493363104104
0,60,50,20,7.0,0.6676418965892161
0,60,50,20,9.0,0.6762841118579649
0,60,50,20,11.0,0.680626426149136
0,60,50,20,13.0,0.6828029964177748
900,10,100,40,1.0,0.2154124321318425
900,10,100,40,3.0,0.3320225845577503
900,10,100,40,5.0,0.3453677506277404
900,10,100,40,7.0,0.352102134157965
900,10,100,40,9.0,0.3575448748220806
900,10,100,40,11.0,0.3587083371376059
900,10,100,40,13.0,0.3640586383657097
0,60,1,20,1.0,0.6134928900313965
0,60,1,20,3.0,0.6538910144134003
0,60,1,20,5.0,0.6689944143645853
0,60,1,20,7.0,0.6699744713896622
0,60,1,20,9.0,0.6755648164213998
0,60,1,20,11.0,0.6784948476078213
0,60,1,20,13.0,0.6821584055670908
600,60,150,20,1.0,0.5814903960403373
600,60,150,20,3.0,0.5966206578910944
600,60,150,20,5.0,0.620818546137194
600,60,150,20,7.0,0.6231892366675594
600,60,150,20,9.0,0.6359234062762137
600,60,150,20,11.0,0.63512297928986
600,60,150,20,13.0,0.6407389505223804
60,10,5,40,1.0,0.2805954913246604
60,10,5,40,3.0,0.2515638655581013
60,10,5,40,5.0,0.2706725958171505
60,10,5,40,7.0,0.2424166440190176
60,10,5,40,9.0,0.2582123041839443
60,10,5,40,11.0,0.2332605712281343
60,10,5,40,13.0,0.2332605712281343
0,60,100,10,1.0,0.5617516194768678
0,60,100,10,3.0,0.6126334111630821
0,60,100,10,5.0,0.6307661074028541
0,60,100,10,7.0,0.6319286392668212
0,60,100,10,9.0,0.6412725455606784
0,60,100,10,11.0,0.6409793589139033
0,60,100,10,13.0,0.6462686696219798
60,60,150,10,1.0,0.2944270818072753
60,60,150,10,3.0,0.2944270818072753
60,60,150,10,5.0,0.2944270818072753
60,60,150,10,7.0,0.2944270818072753
60,60,150,10,9.0,0.2944270818072753
60,60,150,10,11.0,0.2944270818072753
60,60,150,10,13.0,0.2944270818072753
60,5,1,40,1.0,0.1963711058690322
60,5,1,40,3.0,0.1977274587658062
60,5,1,40,5.0,0.2165586849818537
60,5,1,40,7.0,0.2086646586623437
60,5,1,40,9.0,0.2218311671052258
60,5,1,40,11.0,0.2169977501181923
60,5,1,40,13.0,0.2279929942323812
300,5,100,60,1.0,0.1675260088634531
300,5,100,60,3.0,0.2583346086525672
300,5,100,60,5.0,0.2986882926924322
300,5,100,60,7.0,0.3105216802053407
300,5,100,60,9.0,0.3267845210587091
300,5,100,60,11.0,0.3330342945628938
300,5,100,60,13.0,0.3436441070339036
900,10,50,20,1.0,0.2510757580344504
900,10,50,20,3.0,0.3842736413421243
900,10,50,20,5.0,0.4042447634772795
900,10,50,20,7.0,0.4169782510582479
900,10,50,20,9.0,0.4284240684994674
900,10,50,20,11.0,0.43361663728487
900,10,50,20,13.0,0.4392276026514419
