seed,dataset_file,accuracy,f1,mcc,precision,recall,specificity,negative_predictive_value,prevalence,TP,FP,TN,FN,samples
7467074,regional_coloc_first900_5s_window1_10Hz.pkl,0.5694444444444444,0.6246973365617433,0.145331644447336,0.5536480686695279,0.7166666666666667,0.4222222222222222,0.5984251968503937,0.5,258,208,152,102,720
7467074,regional_coloc_first0_10s_window10_10Hz.pkl,0.6834061135371179,0.7049247049247049,0.3707771359897973,0.6600609756097561,0.7563318777292577,0.6104803493449782,0.7147239263803681,0.5,866,446,699,279,2290
7467074,regional_coloc_first60_5s_window10_10Hz.pkl,0.6264367816091954,0.6708860759493671,0.2626362562822911,0.5995475113122172,0.7614942528735632,0.49137931034482757,0.6732283464566929,0.5,265,177,171,83,696
7467074,regional_coloc_first900_5s_window10_10Hz.pkl,0.5694444444444444,0.6291866028708134,0.1467140192483341,0.5525210084033614,0.7305555555555555,0.4083333333333333,0.6024590163934426,0.5,263,213,147,97,720
7467074,regional_coloc_first60_5s_window1_10Hz.pkl,0.5964285714285714,0.64576802507837,0.2008059429301818,0.5754189944134078,0.7357142857142858,0.45714285714285713,0.6336633663366337,0.5,309,228,192,111,840
7467074,regional_coloc_first900_5s_window5_10Hz.pkl,0.5694444444444444,0.6265060240963856,0.14586499149789456,0.5531914893617021,0.7222222222222222,0.4166666666666667,0.6,0.5,260,210,150,100,720
7467074,regional_coloc_first60_5s_window5_10Hz.pkl,0.6264367816091954,0.6640826873385013,0.2594752807456457,0.6032863849765259,0.7385057471264368,0.514367816091954,0.662962962962963,0.5,257,169,179,91,696
7467074,regional_coloc_first300_5s_window5_10Hz.pkl,0.6267857142857143,0.6687797147385103,0.26213900547332214,0.6011396011396012,0.7535714285714286,0.5,0.6698564593301436,0.5,633,420,420,207,1680
7467074,regional_coloc_first300_5s_window10_10Hz.pkl,0.6273809523809524,0.6769865841073271,0.26770168881145007,0.5974499089253188,0.780952380952381,0.4738095238095238,0.6838487972508591,0.5,656,442,398,184,1680
7467074,regional_coloc_first600_5s_window10_10Hz.pkl,0.5576388888888889,0.6026200873362445,0.11835051252207152,0.5469988674971688,0.6708333333333333,0.4444444444444444,0.5745062836624776,0.5,483,400,320,237,1440
7467074,regional_coloc_first300_5s_window1_10Hz.pkl,0.6794444444444444,0.7153428712382832,0.37087967370405656,0.6433007985803016,0.8055555555555556,0.5533333333333333,0.7399702823179792,0.5,725,402,498,175,1800
7467074,regional_coloc_first600_5s_window1_10Hz.pkl,0.5583333333333333,0.5959339263024143,0.11874122983218631,0.5491803278688525,0.6513888888888889,0.4652777777777778,0.5716723549488054,0.5,469,385,335,251,1440
7467074,regional_coloc_first600_5s_window5_10Hz.pkl,0.5541666666666667,0.5936708860759494,0.11044126699877682,0.5453488372093023,0.6513888888888889,0.45694444444444443,0.5672413793103448,0.5,469,391,329,251,1440
7467074,regional_coloc_first0_5s_window10_10Hz.pkl,0.6357615894039735,0.6948077685295283,0.29446074642909,0.5978854024556617,0.8292336802270577,0.4422894985808893,0.7214506172839507,0.5,1753,1179,935,361,4228
7467074,regional_coloc_first0_5s_window5_10Hz.pkl,0.6378902554399243,0.6922613065326633,0.29479856731392856,0.6018874519398811,0.8145695364238411,0.46121097445600756,0.7132406730065838,0.5,1722,1139,975,392,4228
7467074,regional_coloc_first0_5s_window1_10Hz.pkl,0.641438032166509,0.6934896886372827,0.30075430346555154,0.6055790960451978,0.8112582781456954,0.4716177861873226,0.7141833810888252,0.5,1715,1117,997,399,4228
7467074,regional_coloc_first0_10s_window1_10Hz.pkl,0.6912663755458516,0.7072463768115942,0.3848328739837128,0.6724409448818898,0.7458515283842795,0.6366812227074236,0.7147058823529412,0.5,854,416,729,291,2290
7467074,regional_coloc_first0_10s_window5_10Hz.pkl,0.6903930131004367,0.7081103334705641,0.38362330896035757,0.6697819314641744,0.7510917030567685,0.6296943231441048,0.7166998011928429,0.5,860,424,721,285,2290
