trial_number,dataset_file,test_frac,seed,method,duration,trainride_start_seconds,signal_delta,spectrum_min_freq,spectrum_max_freq,harmonics_mask,noise_model,guard_band,noise_band,target_frequency,sliding_window_length,sliding_window_threshold,snr_threshold,f1_test,mcc_test,accuracy_test,precision_test,recall_test,TP_test,FP_test,TN_test,FN_test,samples_test,samples_trainride_test,samples_no_trainride_test,f1_train,mcc_train,accuracy_train,precision_train,recall_train,TP_train,FP_train,TN_train,FN_train,samples_train,samples_trainride_train,samples_no_trainride_train,n_runs,f1_test_std,mcc_test_std,accuracy_test_std,precision_test_std,recall_test_std,f1_train_std,mcc_train_std,accuracy_train_std,precision_train_std,recall_train_std,snr_threshold_std
0,tmd_s0_d5.pkl,0.3,magtrack,fft,5,0,1.6921408352953906,15.16199740225414,18.672485343263528,False,interpolate,0.6705141552687582,4.489553961052377,16.7,1,1,1.0,0.0,0.0,0.1357847495226916,0.0,0.0,0,0,14051,88688,102739,88688,14051,0.0,0.0,0.1325633578535948,0.0,0.0,0,0,31733,207286,239019,207286,31733,5,0.0,0.0,0.03276074987908208,0.0,0.0,0.0,0.0,0.01353791447464623,0.0,0.0,0.0
1,tmd_s0_d5.pkl,0.3,magtrack,fft,5,0,1.6214773094993618,16.187979070224525,24.879324456362887,True,median,0.5,3.0,16.7,1,1,2.81230165814897,0.9014666130671397,0.43040652896431625,0.8368506060097938,0.94004018243507,0.8683825560938434,76881,4996,9054,11806,102739,88688,14051,0.9158476361424397,0.5503121397044156,0.8617498490914691,0.9645993771509254,0.8727585177939691,181019,6705,25028,26266,239019,207286,31733,5,0.011652466591504243,0.0693798524371514,0.013076213491311503,0.03031381922165818,0.04039354020693252,0.01911966205083727,0.029757031546682813,0.027670303666590665,0.006096425795101319,0.03749256006568557,0.3165584396109013
2,tmd_s0_d5.pkl,0.3,magtrack,fft,5,0,1.5707452873733294,12.703560927260266,32.07443077484393,False,median,0.5,3.0,16.7,1,1,2.6760027364081145,0.9256888128236934,0.3877873830410448,0.8701331717662331,0.9137457338409526,0.9385187749253822,83277,7853,6197,5410,102739,88688,14051,0.9422709091405734,0.5724696437876093,0.9002337276587026,0.9456209245649803,0.9392023941943048,194628,11205,20528,12657,239019,207286,31733,5,0.018489671106914667,0.14227839166879902,0.030830379678344268,0.03129633281237045,0.014212985169590221,0.006629475658730995,0.06348208083201082,0.011093095467614736,0.01528195088008311,0.009975965459888944,0.09646640018424663
3,tmd_s0_d5.pkl,0.3,magtrack,fft,5,0,0.3931385851545807,11.787815100859182,38.526847862803415,False,median,0.5,3.0,16.7,1,1,2.3420052502105713,0.9279563298721728,0.43994905811921736,0.8752241771804397,0.926013012797758,0.9305709661940205,82526,6577,7473,6161,102739,88688,14051,0.9452820925889723,0.6222274411015448,0.9063920585190306,0.9586995357847095,0.9323566423495466,193254,8322,23411,14031,239019,207286,31733,5,0.017167255460866327,0.14900994277130095,0.02921372032465,0.03367615492164921,0.00841498555011589,0.007332322719270734,0.06795259453254368,0.012540294939946302,0.014402375024883457,0.004978508826489675,0.017103247671789685
4,tmd_s0_d5.pkl,0.3,magtrack,fft,5,0,1.3502752616417444,8.371616823669275,41.10242739620316,False,interpolate,1.0657622575714754,4.6908590490499344,16.7,1,1,2.7816621410154645,0.8647860979757922,0.45356017768018725,0.7887707611156501,0.9663588779670187,0.7829427504344844,69369,2425,11626,19318,102739,88688,14051,0.8760863726400929,0.4878247812674493,0.8048047715815031,0.9733438934669614,0.7967425314797584,165179,4551,27182,42106,239019,207286,31733,5,0.01231393903374638,0.045602435329673494,0.01792266623358684,0.010956581560348289,0.022037071076219036,0.009891237842912284,0.01512668052202962,0.012206757040185723,0.004928897211193034,0.01805396455595941,0.11243039321297016
5,tmd_s0_d5.pkl,0.3,magtrack,fft,5,0,1.617092725132549,13.292852710668166,23.599236128050215,False,median,0.5,3.0,16.7,1,1,2.960678503829109,0.8775359742630362,0.4282025491003334,0.8040264173941617,0.9515109018650048,0.8156400180975087,72209,3707,10344,16478,102739,88688,14051,0.891313934349939,0.503352418482206,0.8258625811920762,0.9687869678984669,0.82584425905877,171273,5567,26166,36012,239019,207286,31733,5,0.014923284525056854,0.04640602526823803,0.02034475996091883,0.020439202598786073,0.03555366654141909,0.01448459054885721,0.016710332372446384,0.019284779505383327,0.005804874956522944,0.02719786710192225,0.19840777163880505
6,tmd_s0_d5.pkl,0.3,magtrack,fft,5,0,1.1862634507582837,1.0249276197887989,44.47962295385453,True,median,0.5,3.0,16.7,1,1,2.5068932635287284,0.9189061544410692,0.4037568421055237,0.8605177033204493,0.9237543161052398,0.9150254249373996,81130,6708,7343,7557,102739,88688,14051,0.9360493321125138,0.5777697844453725,0.8913490182476655,0.9552825732293565,0.9176048518959181,190210,8877,22856,17075,239019,207286,31733,5,0.013556014499211358,0.132613856950059,0.022995755738300663,0.0332728824905963,0.011729315473287542,0.008860734613980436,0.06017239754225393,0.014420133835549262,0.011029502310011145,0.008211518192779722,0.057755769320681376
7,tmd_s0_d5.pkl,0.3,magtrack,fft,5,0,1.1653951866256764,8.622404808209064,31.06420908626452,True,interpolate,1.928400135539771,4.940800335336261,16.7,1,1,2.706699488595711,0.8736113394309472,0.45938794943454103,0.8004965099341584,0.9634434154026854,0.7997460113249122,70835,2691,11359,17852,102739,88688,14051,0.8855570989670009,0.5027989440640266,0.8180100878531261,0.9726259656146059,0.8130085186549387,168571,4772,26961,38715,239019,207286,31733,5,0.01361572867470339,0.045605597863078544,0.01946886575506266,0.01255623341668396,0.02680047614358685,0.009218540272450615,0.015087760024616198,0.01137830541172538,0.004575244570580005,0.017027570879060424,0.1181769433038902
8,tmd_s0_d5.pkl,0.3,magtrack,fft,5,0,1.9250895475986676,2.502281427268799,44.310757899985916,True,interpolate,1.6939424951628737,5.569918861635276,16.7,1,1,2.967694584432164,0.8579299014775834,0.42264677340222445,0.7781723772161604,0.9591282986467403,0.7765023670810166,68800,2962,11088,19887,102739,88688,14051,0.8699502786787991,0.46093350473738204,0.7953614176532691,0.9679600766170683,0.7901577694784263,163805,5453,26280,43480,239019,207286,31733,5,0.014479615909623846,0.045052397045432596,0.02101421448280136,0.013943298709882156,0.023767144297614513,0.009338093184833083,0.01680010459605815,0.011187066264076211,0.006259715473838958,0.01621451577792261,0.0980738988333625
9,tmd_s0_d5.pkl,0.3,magtrack,fft,5,0,0.11445425002231943,14.440364717049036,26.41464339418345,True,interpolate,1.2896210183658716,3.888513514900524,16.7,1,1,2.0738334289634706,0.8855119885945204,0.5108530648221761,0.8190564093189161,0.9744887888674132,0.8115852195920809,71952,1881,12170,16736,102739,88688,14051,0.8936988030343624,0.5289813601230292,0.829988787314518,0.9759819969272943,0.824225591052207,170846,4206,27527,36439,239019,207286,31733,5,0.010153503063530913,0.048282363552481784,0.01267936869634984,0.006486563409732099,0.01635771953146884,0.003507529744965079,0.01547889985635515,0.003904942009348905,0.0029462250272905294,0.005103177181625037,0.03988648549084491
