trial_number,dataset_file,test_frac,seed,method,duration,trainride_start_seconds,signal_delta,spectrum_min_freq,spectrum_max_freq,harmonics_mask,noise_model,sliding_window_threshold,guard_band,noise_band,target_frequency,sliding_window_length,snr_threshold,f1_test,mcc_test,accuracy_test,precision_test,recall_test,TP_test,FP_test,TN_test,FN_test,samples_test,samples_trainride_test,samples_no_trainride_test,f1_train,mcc_train,accuracy_train,precision_train,recall_train,TP_train,FP_train,TN_train,FN_train,samples_train,samples_trainride_train,samples_no_trainride_train,n_runs,f1_test_std,mcc_test_std,accuracy_test_std,precision_test_std,recall_test_std,f1_train_std,mcc_train_std,accuracy_train_std,precision_train_std,recall_train_std,snr_threshold_std
0,tmd_s900_d5.pkl,0.3,magtrack,fft,5,900,0.7096090323344545,9.985001568845146,27.583642472433816,False,median,0.10685855054822052,0.5,3.0,16.7,9,3.0598850107066315,0.8476324226371033,0.5707767042437817,0.7900491605906438,0.7713169584161466,0.9623567522247882,17129,5905,5652,675,29362,17804,11557,0.868593807011889,0.6034810303842496,0.8173641578244973,0.7904123477512482,0.9650380028355867,40154,10729,14039,1450,66373,41605,24768,10,0.08221229107618686,0.1804134226600252,0.10834266938917161,0.14026005051677687,0.022350561192802588,0.02050966153113457,0.04376172475053322,0.023607894479563536,0.0320477429313445,0.01905481595162393,0.26639698714346083
1,tmd_s900_d5.pkl,0.3,magtrack,fft,5,900,0.8060700248946817,11.102244441078836,30.861966733505643,True,median,0.4394115689678597,0.5,3.0,16.7,9,3.794398175580821,0.8206435084349764,0.5649324260865667,0.7789871328240086,0.8565134103730194,0.8172850862126863,14536,3312,8245,3268,29362,17804,11557,0.8782316822467495,0.7220825179253245,0.8604827250940652,0.9453959298631368,0.8256510361601181,34364,2100,22667,7241,66373,41605,24768,10,0.03931394986263961,0.1639444061301204,0.06087391367137582,0.1479387551545327,0.08334634757541115,0.035754959966874555,0.037899773951526564,0.028688975435765283,0.026021746532431632,0.08084380332719619,0.786143706797017
2,tmd_s900_d5.pkl,0.3,magtrack,fft,5,900,0.45346637315910154,10.58391162064007,34.81335827188842,True,median,0.15779047227472845,0.5,3.0,16.7,9,3.7073309448879117,0.8418453032204859,0.581288691561166,0.7935958618415353,0.8189326328556653,0.894489151753729,15912,4377,7179,1892,29362,17804,11557,0.8877659844567056,0.6993850228535589,0.8604658488166557,0.8769234138761544,0.9013535197184895,37513,5273,19494,4092,66373,41605,24768,10,0.052105548091557305,0.14886472036883844,0.06979840691225599,0.1421523567183301,0.06796635659621583,0.03515149495237816,0.06200585900037311,0.033797643074222394,0.0181790036926106,0.06669024026206319,0.9001974841258588
3,tmd_s900_d5.pkl,0.3,magtrack,fft,5,900,1.0411770538233565,7.02051765332155,42.291059367884316,True,median,0.22712560722014194,0.5,3.0,16.7,9,4.192885640927196,0.8267322592774743,0.5766806329992701,0.7767805707846588,0.829077496302005,0.8684578138419481,15434,4273,7284,2370,29362,17804,11557,0.8833984561353179,0.7261174532230423,0.8639118045366863,0.9134743488905273,0.8685806029138154,36162,3730,21038,5442,66373,41605,24768,10,0.03083528424817356,0.13100884189097556,0.049383811921430064,0.1512491144836329,0.12004090078940077,0.047549380409181906,0.05615014481844091,0.03926957921718936,0.04066930954563394,0.11955895301804224,1.4981269199032696
4,tmd_s900_d5.pkl,0.3,magtrack,fft,5,900,1.151236372782532,12.19696412018378,26.70987002519614,True,median,0.31256008273082303,0.5,3.0,16.7,9,3.5239609827622873,0.8421706953937995,0.6023755936606855,0.8027456766903018,0.8494299898064732,0.8574447700838477,15254,3393,8164,2550,29362,17804,11557,0.8893833162094194,0.7198960662771083,0.8671434043645376,0.9173679936994781,0.8655197610288875,36018,3286,21482,5586,66373,41605,24768,10,0.046601717794807755,0.13624467841950108,0.06058141523973487,0.13490374997188023,0.061692304807698974,0.02426179584982025,0.024938650440872134,0.01785425844532484,0.014133835882331,0.05577156237195592,0.450899084488134
5,tmd_s900_d5.pkl,0.3,magtrack,fft,5,900,1.4343546821808433,12.724174322091937,22.296808897031184,False,spline,0.1264114525679899,0.5,3.0,16.7,9,3.8679019471478036,0.8523398275252694,0.6387398816505033,0.8250262775958502,0.8809163826477235,0.8308013539980339,14784,2143,9414,3020,29362,17804,11557,0.8652463954517347,0.6511968910986428,0.8358978731126708,0.8925257813371449,0.8402940771467383,34964,4244,20523,6640,66373,41605,24768,10,0.029548091903680487,0.05822582740728318,0.0254346671271842,0.07427432415654496,0.03489041359163781,0.013083350385577683,0.040122954715522206,0.011914328110088761,0.02171575937423464,0.022771541221580812,0.2078772730302198
6,tmd_s900_d5.pkl,0.3,magtrack,fft,5,900,0.3015215480737748,10.25463433483635,17.13819872238248,False,spline,0.17633956214399485,0.5,3.0,16.7,9,2.6180110224595516,0.7949282083859253,0.33839953747376506,0.7075676159188353,0.6950706807629736,0.9389452615699596,16713,7756,3801,1091,29362,17804,11557,0.8031582958031713,0.3369634101070072,0.7108821653630567,0.7006346725325381,0.942402219345823,39210,16900,7868,2394,66373,41605,24768,10,0.05893616198732958,0.07052780245495982,0.05960861379311339,0.09025819022937898,0.0167142565750844,0.025703120096764384,0.04943821239965865,0.027480284829293686,0.03817386230052472,0.010485984284503569,0.12914361875268265
7,tmd_s900_d5.pkl,0.3,magtrack,fft,5,900,1.9637594557148688,13.358306791316046,18.696142837573188,True,spline,0.2885496036585776,0.5,3.0,16.7,9,1.4025421153619396e-57,0.7624719717547462,0.0,0.6226726694900634,0.6226726694900634,1.0,17804,11557,0,0,29362,17804,11557,0.7721756946187839,0.0,0.6304621902827849,0.6304621902827849,1.0,41605,24768,0,0,66373,41605,24768,10,0.07938775618145881,0.0,0.10221359952175099,0.10221359952175099,0.0,0.037615653416440215,0.0,0.051094168125759835,0.051094168125759835,0.0,2.720102642768865e-57
8,tmd_s900_d5.pkl,0.3,magtrack,fft,5,900,0.48716553992568706,8.961049928411388,31.274604361326055,False,interpolate,0.669813686041186,0.73108301798248,4.688261106738359,16.7,9,2.557338831028531,0.8127658209946468,0.6589819190461155,0.8017871982497462,0.9939978610864731,0.6881695122104695,12245,73,11484,5559,29362,17804,11557,0.8179994200457397,0.664162784125229,0.8052612584401768,0.9908743015568616,0.6966343916408172,28984,266,24501,12620,66373,41605,24768,10,0.025321746301314195,0.06935392125097618,0.045014958451605094,0.00463424902247636,0.035871500415128786,0.011445279876679683,0.02233569851830423,0.011449091598793757,0.0018982508573463456,0.016238329114480615,0.10095635874784781
9,tmd_s900_d5.pkl,0.3,magtrack,fft,5,900,1.5952171766261822,0.6377991972450161,19.187991782890304,False,spline,0.4966019208175164,0.5,3.0,16.7,9,3.6566181889223786,0.8236835712203614,0.6537109805509463,0.8094999897974843,0.9683186540445432,0.717291318915027,12765,422,11134,5039,29362,17804,11557,0.8271860498926618,0.6514521421505561,0.8093255792789511,0.9613977280729648,0.7259030477014361,30201,1210,23558,11404,66373,41605,24768,10,0.025973374347058976,0.07027771009051031,0.03940456915755484,0.026505630256333308,0.03278442905619224,0.012941097638262494,0.03162183788338147,0.01520745395305587,0.009957169929597751,0.014731933149997678,0.07544322287501389
10,tmd_s900_d5.pkl,0.3,magtrack,fft,5,900,1.5177692655120505,10.569726507627612,40.451146446737816,True,interpolate,0.3871899176532416,1.8957878590651573,1.3594821621494144,16.7,9,3.4688637743460093,0.8272638882927058,0.6466788877838476,0.8098878801034572,0.9528387335107865,0.7321897774055229,13029,668,10888,4775,29362,17804,11557,0.829128827217222,0.6399019653665934,0.8089432015611063,0.9446470142791347,0.7388655902427465,30741,1798,22970,10863,66373,41605,24768,10,0.0251119269201254,0.07767458888600093,0.041076636337784155,0.03920574403338745,0.0332637180164838,0.016196106660008012,0.032726229837318994,0.014529522046548745,0.013103377628760996,0.01866867261909463,0.12805605446859586
11,tmd_s900_d5.pkl,0.3,magtrack,fft,5,900,1.9250895475986676,2.502281427268799,44.310757899985916,True,interpolate,0.7711336821738416,1.0647606485674472,2.583716546867296,16.7,9,3.6183251852860545,0.7299661237291998,0.5525947316115041,0.730504787499735,0.9712478659595287,0.5855511784534575,10417,310,11247,7387,29362,17804,11557,0.7310848206428662,0.5442446719170019,0.7275530628828912,0.9633473609544675,0.5892393273343418,24516,931,23837,17088,66373,41605,24768,10,0.03198203832337072,0.07352272474034358,0.05483302866425661,0.02546320348099778,0.03756840272460369,0.016274161973754964,0.02994577648113885,0.0183387955693936,0.009678245672867616,0.019036324564042955,0.17053684279560552
